id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
new_0,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,Nayo Women Orange & Off-White Striped Straight Kurta
new_1,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Jaipur Kurti Women Navy Blue Yoke Design Kurta with Trousers
new_2,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,AHIKA Women Green & Off-White Printed Straight Kurta
new_3,Women,Apparel,Topwear,Kurtas,Yellow,All,2026,Ethnic,ADA Women Yellow & White Chikankari Hand Embroidered Semi-Sheer Straight Kurta
new_4,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Soch Women Navy Blue & Grey Dyed Straight Kurta
new_5,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,Soch Women Black Yoke Design A-Line Kurta
new_6,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,AHIKA Women Maroon & Beige Printed Straight Kurta
new_7,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,W Women Navy Blue & Silver Embroidered Straight Kurta
new_8,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Soch Women Navy Blue & Gold-Coloured Printed Straight Kurta
new_9,Women,Apparel,Topwear,Kurtas,Unknown,All,2026,Ethnic,HERE&NOW Women Navy Yoke Design A-Line Kurta
new_10,Women,Apparel,Topwear,Kurta Sets,Beige,All,2026,Ethnic,Aayna Women Beige Self Design Kurta with Trousers
new_11,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,Soch Women Lime Green & Off-White Woven Design Straight Kurta
new_12,Women,Apparel,Topwear,Kurtas,Black,All,2026,Ethnic,YASH GALLERY Women Black Printed A-Line Kurta
new_13,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,W Women Teal Green Solid Straight Kurta
new_14,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Global Desi Women Teal Blue & Red Printed Straight Kurta
new_15,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,Soch Women Off-White & Blue Printed A-Line Kurta
new_16,Women,Apparel,Topwear,Kurta Sets,Pink,All,2026,Ethnic,Indo Era Women Beige & Pink Yoke Design Kurta with Palazzos & Dupatta
new_17,Women,Apparel,Topwear,Kurtas,Sea Green,All,2026,Ethnic,AHIKA Women Sea Green & White Printed Straight Kurta
new_18,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Indo Era Women Navy Blue & Off-White Printed A-Line Kurta
new_19,Women,Apparel,Topwear,Kurtas,Yellow,All,2026,Ethnic,Yuris Women Yellow & Red Bandhani Printed Straight Kurta
new_20,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Sangria Women White & Navy Blue Printed Straight Kurta
new_21,Women,Apparel,Topwear,Kurtas,Pink,All,2026,Ethnic,AHIKA Women Black & Pink Printed Straight Kurta
new_22,Women,Apparel,Topwear,Kurta Sets,Green,All,2026,Ethnic,Indo Era Women Green & Beige Solid Kurta with Striped Palazzos & Stole
new_23,Women,Apparel,Topwear,Kurtas,Mustard,All,2026,Ethnic,Vishudh Women Mustard Printed Straight Kurta
new_24,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Soch Women Blue Solid A-Line Kurta
new_25,Women,Apparel,Topwear,Kurtas,Burgundy,All,2026,Ethnic,HERE&NOW Women Burgundy & White Printed Straight Kurta
new_26,Women,Apparel,Topwear,Kurtas,Blue,All,2026,Ethnic,Indibelle Women Turquoise Blue Printed Straight Kurta
new_27,Women,Apparel,Topwear,Kurta Sets,Mustard,All,2026,Ethnic,Inddus Women Maroon & Mustard Yellow Woven Design Kurta with Palazzos & Dupatta
new_28,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Fabindia Women Green & Golden Handblock Print A-Line Kurta
new_29,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Libas Women Navy Blue Block Print Straight Kurta
new_30,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Vishudh Women White & Navy Blue Printed Anarkali Kurta
new_31,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Popnetic Women Green & Golden Printed Straight Kurta
new_32,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Sztori Women Green Solid Semi Sheer Straight Kurta
new_33,Women,Apparel,Topwear,Kurta Sets,Grey,All,2026,Ethnic,HERE&NOW Women Grey Solid Kurta with Palazzos
new_34,Women,Apparel,Topwear,Kurta Sets,Green,All,2026,Ethnic,ZIYAA Women Black & Green Printed Kurta with Trousers
new_36,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,House of Pataudi Women Navy Blue & White Embroidered Straight Kurta
new_37,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Fabindia Women Pink & Green Printed Slim Fit A-Line Kurta
new_38,Women,Apparel,Topwear,Kurtas,Green,All,2026,Ethnic,Vaamsi Women Green & Red Printed Straight Kurta
new_39,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,Naari Women White Embroidered Straight Calf-Length Pure Cotton Kurta
new_40,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,Global Desi Women Off-White & Pink Printed A-Line Kurta
new_41,Women,Apparel,Topwear,Kurtas,Brown,All,2026,Ethnic,Fabindia Women Brown & Golden Printed Straight Kurta
new_42,Women,Apparel,Topwear,Kurtas,Off-White,All,2026,Ethnic,AKS Women Navy & Off-White Printed Straight Kurta
new_43,Women,Apparel,Topwear,Kurta Sets,Navy Blue,All,2026,Ethnic,Indo Era Women Navy Blue & Gold-Toned Foil Print Kurta with Palazzos & Dupatta
new_44,Women,Apparel,Topwear,Kurtas,Gold,All,2026,Ethnic,Vishudh Women Black & Gold-Toned Printed Straight Kurta
new_45,Women,Apparel,Topwear,Kurtas,Maroon,All,2026,Ethnic,Libas Women Maroon Yoke Design Straight Kurta
new_46,Women,Apparel,Topwear,Kurtas,White,All,2026,Ethnic,NAARI Women White Woven Designed Kurta
new_47,Women,Apparel,Topwear,Kurtas,Navy Blue,All,2026,Ethnic,Fabindia Women Navy Blue & White Dyed Straight Kurta
new_48,Women,Apparel,Topwear,Kurtas,Yellow,All,2026,Ethnic,Melange by Lifestyle Women Yellow & White Yoke Design A-Line Kurta
new_49,Women,Apparel,Topwear,Kurta Sets,Grey,All,2026,Ethnic,AKS Women Blue & Grey Printed Kurta with Palazzos
new_50,Women,Apparel,Topwear,Kurtas,Lime Green,All,2026,Ethnic,Azira Women Lime Green Embroidered Straight Kurta
