id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
party_0,Women,Apparel,Dress,Dresses,Purple,All,2026,Party,Women Purple Maxi Party Dress
party_1,Women,Apparel,Dress,Dresses,Maroon,All,2026,Party,Women Maroon Satin Fit And Flare Party Dress
party_2,Women,Apparel,Dress,Dresses,Maroon,All,2026,Party,Women Maroon Off Shoulder Party Dress
party_3,Women,Apparel,Dress,Dresses,Blue,All,2026,Party,Women Blue Sequin Bodycon Party Dress
party_4,Women,Apparel,Dress,Dresses,Red,All,2026,Party,Women Red Long Sleeve Fit And Flare Party Dress
party_5,Women,Apparel,Dress,Dresses,Black,All,2026,Party,Women Black Sleeveless Skater Party Dress
party_6,Women,Apparel,Dress,Dresses,Cream,All,2026,Party,Women Cream Cape Sleeve Bodycon Party Dress
party_7,Women,Apparel,Dress,Dresses,Lavender,All,2026,Party,Women Lavender Sequin Fit And Flare Party Dress
party_8,Women,Apparel,Dress,Dresses,Red,All,2026,Party,Women Red Sequin Bodycon Party Dress
party_9,Women,Apparel,Dress,Dresses,Silver,All,2026,Party,Women Silver Sequin Bodycon Party Dress
party_10,Women,Apparel,Dress,Dresses,Pink,All,2026,Party,Women Pink One Shoulder Maxi Party Dress
party_11,Women,Apparel,Dress,Dresses,Burgundy,All,2026,Party,Women Burgundy Satin Slip Party Dress
party_12,Women,Apparel,Dress,Dresses,Navy Blue,All,2026,Party,Women Navy Blue Draped Maxi Party Dress
party_13,Women,Apparel,Dress,Dresses,Burgundy,All,2026,Party,Women Burgundy Bodycon Maxi Party Dress
party_14,Women,Apparel,Dress,Dresses,Red,All,2026,Party,Women Red Satin Bodycon Party Dress
party_15,Women,Apparel,Dress,Dresses,Black,All,2026,Party,Women Black One Shoulder Maxi Party Dress
party_men_0,Men,Apparel,Topwear,Blazers,Navy Blue,All,2026,Party,Men Navy Blue Embroidered Party Blazer
party_men_1,Men,Apparel,Topwear,Blazers,Blue,All,2026,Party,Men Blue Textured Party Blazer
party_men_2,Men,Apparel,Topwear,Blazers,White,All,2026,Party,Men White Tuxedo Party Blazer
party_men_3,Men,Apparel,Topwear,Blazers,Green,All,2026,Party,Men Green Slim Fit Party Blazer
party_men_4,Men,Apparel,Topwear,Blazers,Navy Blue,All,2026,Party,Men Navy Blue Printed Party Blazer
party_men_5,Men,Apparel,Topwear,Blazers,Yellow,All,2026,Party,Men Mustard Formal Party Blazer
party_men_6,Men,Apparel,Topwear,Shirts,White,All,2026,Party,Men White Slim Fit Party Shirt
party_men_7,Men,Apparel,Topwear,Blazers,Grey,All,2026,Party,Men Grey Formal Party Blazer
party_men_8,Men,Apparel,Topwear,Blazers,Black,All,2026,Party,Men Black Embroidered Party Blazer
party_men_9,Men,Apparel,Topwear,Blazers,Navy Blue,All,2026,Party,Men Navy Blue Three Piece Party Suit
party_men_10,Men,Apparel,Topwear,Blazers,Black,All,2026,Party,Men Black Tuxedo Party Blazer
party_men_11,Men,Apparel,Topwear,Shirts,Burgundy,All,2026,Party,Men Burgundy Satin Party Shirt
